"Name","Team","G","PA","HR","R","RBI","SB","BB%","K%","ISO","BABIP","AVG","OBP","SLG","wOBA","xwOBA","wRC+","BsR","Off","Def","WAR","playerid"
"Luis Rengifo","LAA","108","406","7","44","33","2","9.9%","22.9%",".126",".300",".238",".321",".364",".298","","83","0.5","-8.2","-0.6","0.6","19858"
"Aaron Hicks","NYY","59","255","12","41","36","1","12.2%","28.2%",".208",".286",".235",".325",".443",".325","","103","-0.1","0.7","-4.1","0.6","5297"
"Jesse Winker","CIN","113","384","16","51","38","0","9.9%","15.6%",".204",".286",".269",".357",".473",".351",".336","111","-4.1","1.5","-7.9","0.6","13590"
"Nick Markakis","ATL","116","469","9","61","62","2","10.0%","12.6%",".135",".310",".285",".356",".420",".332",".349","101","-1.9","-1.0","-8.1","0.6","5930"
"Tucker Barnhart","CIN","114","364","11","32","40","1","12.1%","22.8%",".149",".278",".231",".328",".380",".301","","78","-3.5","-14.0","8.1","0.6","10200"
"Mike Brosseau","TBR","51","142","6","17","16","1","4.9%","27.5%",".189",".345",".273",".319",".462",".329","","110","1.2","3.0","-2.4","0.6","19683"
"Francisco Mejia","SDP","79","244","8","27","22","1","5.3%","23.0%",".173",".319",".265",".316",".438",".317","","97","-1.2","-2.0","-0.1","0.6","16403"
"Abraham Almonte","ARI","17","38","1","11","4","0","18.4%","21.1%",".258",".364",".290",".421",".548",".406","","150","1.5","4.0","0.5","0.6","5486"
"Dee Strange-Gordon","SEA","117","421","3","36","34","22","4.3%","14.5%",".084",".313",".275",".304",".359",".282","","77","2.9","-9.3","-0.3","0.5","8203"
"Adeiny Hechavarria","- - -","84","221","9","34","33","3","6.3%","21.7%",".202",".272",".241",".299",".443",".312","","94","0.7","-1.1","-0.3","0.5","10459"
"Nomar Mazara","TEX","116","469","19","69","66","4","6.0%","23.0%",".200",".312",".268",".318",".469",".327",".332","94","-0.1","-3.6","-7.8","0.5","14553"
"Kyle Tucker","HOU","22","72","4","15","11","5","5.6%","27.8%",".269",".326",".269",".319",".537",".349",".345","121","0.7","2.6","0.4","0.5","18345"
"Pedro Severino","BAL","96","341","13","37","44","3","8.5%","21.4%",".170",".285",".249",".321",".420",".316",".335","94","-2.1","-4.8","-2.0","0.5","14523"
"Terrance Gore","KCR","37","58","0","13","1","13","10.3%","31.0%",".078",".424",".275",".362",".353",".317","","94","1.6","1.2","2.2","0.5","13658"
"Brandon Woodruff","MIL","27","49","0","1","4","0","2.0%","40.8%",".089",".480",".267",".283",".356",".272","","63","0.0","-2.4","6.0","0.5","16162"
"A.J. Pollock","LAD","86","342","15","49","47","5","6.7%","21.6%",".201",".300",".266",".327",".468",".333","","107","1.9","4.9","-10.8","0.5","9256"
